"Input","Query"
"arabalar tablosunda maksimum hızı en yüksek olan arabalar","SELECT * FROM Cars WHERE MaxSpeed=(SELECT MAX(MaxSpeed) FROM Cars)"
"arabalar tablosunda maksimum hızı en düşük olan arabaları getir","SELECT * FROM Cars WHERE MaxSpeed=(SELECT MIN(MaxSpeed) FROM Cars)"
"arabalar tablosunda Japonyada üretilmiş maksimum hızı en yüksek olan arabalar","SELECT * FROM Cars WHERE Country=’Japonya’ AND MaxSpeed=(SELECT MAX(MaxSpeed) FROM Cars)"
"arabalar tablosunda Alerkekyada üretilmiş maksimum hızı en düşük olan arabalar","SELECT * FROM Cars WHERE Country=’Alerkekya’ AND MaxSpeed=(SELECT MIN(MaxSpeed) FROM Cars)"
"arabalar tablosunda ağırlığı 1000 kilogramdan az olan arabalar","SELECT * FROM Cars WHERE Weight<1000 KG"
"arabalar tablosunda ağırlığı 1100 kilogramdan az olan arabaların sayısı","SELECT COUNT(*) FROM Cars WHERE Weight<1100 KG"
"arabalar tablosunda Amerikada üretilmiş ağırlığı en fazla olan arabalar","SELECT * FROM Cars WHERE Country= 'Amerika' AND Weight=(SELECT MAX(Weight) FROM Cars)"
"arabalar tablosunda Türkiyede üretilmiş ağırlığı en az olan arabalar","SELECT * FROM Cars WHERE Country= 'Türkiye' AND Weight=(SELECT MIN(Weight) FROM Cars)"
"arabalar tablosunda Amerikada üretilmiş ağırlığı en fazla olan ilk 5 araba","SELECT * FROM Cars WHERE Country='Amerika' AND Weight=(SELECT MAX(Weight) FROM Cars) ORDER BY Weight DESC LIMIT 5"
"arabalar tablosunda Amerikada üretilmiş ağırlığı en az olan ilk 10 araba","SELECT * FROM Cars WHERE Country='Amerika' AND Weight=(SELECT MIN(Weight) FROM Cars) ORDER BY Weight DESC LIMIT 10"
"kullanıcılar tablosundaki tüm kullanıcıları seç","SELECT * FROM users"
"bana kullanıcılar tablosundaki idsi 1 olan kullanıcının bilgilerini getir","SELECT * FROM users WHERE id = 1"
"kullanıcı tablosundaki kullanıcıların sadece isim ve e-posta bilgilerini getir","SELECT name, email FROM users"
"kullanıcılar tablosundaki aktif kullanıcıları seç","SELECT * FROM users WHERE status= true"
"ürünler tablosundaki pasif ürünleri seç","SELECT * FROM products WHERE status=false"
"kullanıcılar tablosundaki kullanıcıları isme göre alfabetik olarak sıralayarak seç","SELECT * FROM users ORDER BY ProductName ASC"
"ürünler tablosundaki ürünleri fiyata göre azalan şekilde sıralayarak seç","SELECT * FROM products ORDER BY Price DESC"
"kullanıcılar tablosundaki kullanıcı sayısı","SELECT COUNT(*) FROM users"
"kullanıcılar tablosundaki aktif kullanıcıların sayısı","SELECT COUNT(*) FROM users WHERE Status= true"
"kullanıcılar tablosundaki kullanıcıları isme göre gruplayarak seç","SELECT * FROM users GROUP BY Name"
"kullanıcılar tablosundaki kullanıcıları isme göre gruplayarak seç","SELECT * FROM users GROUP BY Name"
"kullanıcılar tablosundaki kullanıcıları isme göre sıralayarak ilk 10 kaydı seç","SELECT * FROM users ORDER BY Name ASC LIMIT 10"
"kullanıcılar tablosundaki ismi 'Ahmet' olan kullanıcıyı seç","SELECT * FROM users WHERE Name='Ahmet'"
"kullanıcılar tablosundaki ismi 'Ahmet' veya 'Mehmet' olan kullanıcıları seç","SELECT * FROM users WHERE Name IN ('Ahmet', 'Mehmet')"
"kullanıcılar tablosundaki epostası '@gmail.com' ile biten kullanıcıları seç","SELECT * FROM users WHERE Email LIKE '%@gmail.com’"
"kullanıcılar tablosuna en son eklenen 5 kullanıcıyı seç","SELECT * FROM users ORDER BY id DESC LIMIT 5;"
"kullanıcılar tablosundaki kullanıcıların yaşlarının toplamını seç","SELECT SUM(Age) FROM users"
"kullanıcılar tablosunda isimde 'a' harfi geçen kullanıcıları getir","SELECT * FROM users WHERE Name LIKE '%a%';"
"kullanıcılar tablosunda kullanıcıların yaşlarının ortalamasını ve toplamını seç","SELECT AVG(Age), SUM(Age) FROM users"
"kullanıcılar tablosundaki isimde 's' geçen kullanıcıları seç","SELECT * FROM users WHERE Name LIKE '%s%';"
"kullanıcılar tablosundaki Kullanıcıların isimlerinin uzunluklarını seç","SELECT LENGTH(Name) FROM kullanıcılar"
"hediyeler tablosundaki tüm verileri getir","SELECT * FROM gifts"
"bana kullanıcılar tablosundaki idsi 15 olan kullanıcının bilgilerini getir","SELECT * FROM users WHERE id = 15"
"kullanıcı tablosundaki kullanıcıların sadece isim, soyisim ve numara bilgilerini getir","SELECT name,surname, email FROM users"
"kullanıcılar tablosundaki pasif kullanıcıları seç","SELECT * FROM users WHERE status= false"
"ürünler tablosundaki aktif ürünleri seç","SELECT * FROM products WHERE status=true"
"kullanıcılar tablosundaki kullanıcıları isme göre alfabetik olarak tersten sıralayarak seç","SELECT * FROM users ORDER BY ProductName DESC"
"ürünler tablosundaki ürünleri fiyata göre aartan şekilde sıralayarak seç","SELECT * FROM products ORDER BY Price ASC"
"hediyeler tablosundaki verilerin sayısı","SELECT COUNT(*) FROM gifts"
"kullanıcılar tablosundaki pasif kullanıcıların sayısı","SELECT COUNT(*) FROM users WHERE Status= false"
"kullanıcılar tablosundaki kullanıcıları soyisme göre gruplayarak seç","SELECT * FROM users GROUP BY Surname"
"kullanıcılar tablosundaki kullanıcıları uyruğa göre gruplayarak seç","SELECT * FROM users GROUP BY Nationality"
"kullanıcılar tablosundaki kullanıcıları isme göre sıralayarak ilk 7 kaydı seç","SELECT * FROM users ORDER BY Name ASC LIMIT 7"
"kullanıcılar tablosundaki kullanıcıları isme göre tersten sıralayarak ilk 20 kaydı seç","SELECT * FROM users ORDER BY Name DESC LIMIT 20"
"kullanıcılar tablosundaki ismi 'Ahmet' olmayan kullanıcıları seç","SELECT * FROM users WHERE Name!='Ahmet'"
"kullanıcılar tablosundaki ismi 'Ali' veya 'Veli' olmayan kullanıcıları seç","SELECT * FROM Users WHERE name NOT IN ('Ali', 'Veli');"
"kullanıcılar tablosundaki epostası '@outlook.com' ile biten kullanıcıları seç","SELECT * FROM users WHERE Email LIKE '%@outlook.com’"
"kullanıcılar tablosuna en son eklenen 3 kullanıcıyı seç","SELECT * FROM users ORDER BY id DESC LIMIT 3;"
"ürünler tablosundaki ürünlerin fiyatlarının toplamını seç","SELECT SUM(Price) FROM products"
"kullanıcılar tablosunda isimde 'a' harfi geçmeyen kullanıcıları getir","SELECT * FROM users WHERE Name NOT LIKE '%a%';"
"ürünler tablosundaki ürünlerin fiyatlarının ortalamasını ve toplamını seç","SELECT AVG(Price), SUM(Price) FROM products"
"kullanıcılar tablosundaki soyisminde 'bla' geçen kullanıcıları seç","SELECT * FROM users WHERE Surname LIKE '%bla%';"
"kullanıcılar tablosundaki Kullanıcıların isimlerinin uzunlukları 2’den büyük olanları seç","SELECT * FROM Kullanıcılar WHERE LENGTH(Name) > 2"
"şehirler tablosundaki şehirleri alfabetik sıralayıp nüfuslarla beraber son 7 şehri al","SELECT Name,Pop FROM cities ORDER BY Name DESC LIMIT 7;"
"hava durumları tablosunda en sıcak il hangisi","SELECT CityName FROM weatherConditions WHERE MAX(Temp)"
"hasta kabul tablosundan giriş tarihi son 2 saate ait olan erkek hastaları listele","SELECT * FROM patient_admission WHERE Entry_date> DATEADD(HOUR, -2, GETDATE()) AND Gender= ‘men’"
"şehirler tablosundaki nüfus sayılarına göre büyükten küçüğe doğru sırala","SELECT * FROM cities ORDER BY Pop DESC"
"bana işçiler tablosundaki 5000 ‘den büyük olan maaşları getir","SELECT Salary FROM employees WHERE Salary>5000"
"kategoriler tablosundan son 100 açıklamaları getir","SELECT * FROM categories ORDER BY Description DESC LIMIT 100;"
"hasta kabul tablosundan sadece erkek hastaları listele","SELECT * FROM patient_admission WHERE Gender= ‘men’"
"bana işçiler tablosundaki 15000’den büyük ilk maaşları göster","SELECT Name,Salary FROM Employees WHERE Salary>15000"
"personeller tablosundan ayşe derkes nerede oturuyor","SELECT Address FROM employees WHERE Name = ' ayşe derkes ';"
"müşteriler tablosundaki ilk 100 müşterinin isim ve kimlik numaralarını getir","SELECT Name, IdentificationNumber FROM Customer LIMIT 100;"
"çalışanlar tablosundan alfabetik sıralamaya göre ilk 40 kişinin adreslerinin ve telefon numaralarını göster","SELECT Address, PhoneNumber FROM Employee ORDER BY Name ASC LIMIT 40"
"müşteriler tablosundaki ilk 10 müşterinin kimlik numaralarını getir","SELECT Id FROM customers LIMIT 10"
"ürün tablosundan 10. numaralı tedarikçinin sağladığı ürün sayısı kaçtır","SELECT COUNT (*) FROM Products INNER JOIN Suppliers ON products.SupplierID=suppliers.SupplierID WHERE products.SupplierID=10"
"ürün tablosundan 8. numaralı tedarikçinin sağladığı ürünler nelerdir","SELECT products.ProductName,suppliers.SupplierID FROM Products INNER JOIN Suppliers ON products.SupplierID=suppliers.SupplierID WHERE products.SupplierID=8"
"müşteriler tablosundaki hangi müşterinin doğum tarihi 22 Eylül 1995?","SELECT * FROM customers WHERE BirthDay=”22.09.2022”"
"öğrenciler tablosuna en son eklenen 26 kişiyi getir","SELECT * FROM students ORDER BY No DESC LIMIT 26"
"Çiçekler tablosundan sünbül ü yi lale olarak güncelle","UPDATE flowers SET Name= 'lale' WHERE Name= 'sunbul '"
"Personeller tablosundan 65 yaşından küçük personellerin kayıtlarını sil.","DELETE FROM employees WHERE Age < 65;"
"filmler tablosundan Mısır yapımı filmleri hangileri değildir","SELECT films.Name, countries.CountryName FROM films INNER JOIN countries ON films.CountryCode=countries.CountryCode WHERE CountryName!=""mısır”"
"hasta kabul tablosundan id si 77 olan doktor kimdir","SELECT DoktorID FROM patient_admission WHERE DoktorID = 77;"
"hava durumları tablosunda en soğuk ilin bilgilerini getir","SELECT * FROM weatherConditions WHERE MIN(Temp)"
"sehirler tablosundaki en düşük nüfuslu 10 şehri getir","SELECT * FROM cities ORDER BY Pop ASC LIMIT 10"
"filmler tablosundan 1980 yılından sonraki ABDyapımı filmleri göster","SELECT films.Name, countries.CountryName FROM films INNER JOIN countries ON films.CountryCode=countries.CountryCode WHERE CountryName=""ABD” AND FilmDate>1980"
"personeller tablosundan eylül ayında doğanların listesi","SELECT * FROM employees WHERE MONTH(Date_of_birth) = 9"
"kitaplar tablosundaki en fazla sayfa sayısına sahip kitabı yazdır","SELECT Book_Name FROM books ORDER BY Page_Number DESC LIMIT 1"
"bana çalışanlar tablosundaki 1 kasım 2000 doğumlu çalışanları göster","SELECT * FROM employees WHERE Birthdate = '01-11-2000';"
"dersler tablosundan kredi sayısı 2 olan dersleri getir","SELECT * FROM lessons WHERE credit=2"
"ürün tablosunda birim fiyatı 20 ile 60 arasındaki ürünleri sırala","SELECT ProductName,Price FROM products WHERE Price BETWEEN 20 AND 60"
"siparişler tablosunda gönderici kimliği 260 olanları göster","SELECT * FROM Orders WHERE ShipperID= 260"
"hammaddeler tablosundan kalan miktar 31 tondan yukarı olanları listele","SELECT Name,Remaining FROM rawMaterials WHERE Remaining >31"
"hava durumları tablosundan trabzonun sıcaklığı nedir","SELECT CityName FROM weatherConditions WHERE CityName=”trabzon”"
"hava durumları tablosundan Edirne sıcaklığı","SELECT CityName FROM weatherConditions WHERE CityName=”edirne”"
"bölümler tablosundan Yazılım bölümünde okuyan toplam öğrenci sayısı","SELECT COUNT (*) FROM programs INNER JOIN students ON programs.ProgramCode=students.ProgramCode WHERE programs.Name=”Yazılım”"
"filmler tablosunda 2000 de çıkan ilk film hangisidir","SELECT FilmName FROM films WHERE FilmDate= 2000 ORDER BY FilmDate ASC LIMIT 1"
"hasta kabul tablosundan tüm kadınları doğum tarihine göre listele","SELECT * FROM patient_admission WHERE Gender= 'kadın' ORDER BY Birth_Day"
"filmler tablosunda imdb puanı en yüksek son 7 filmleri listele","SELECT * FROM films ORDER BY Imdb_Score DESC LIMIT 7"
"kitaplar tablosunda sayfa sayısı 100 ila 250 arasındaki kitapları listele","SELECT Book_Name FROM books WHERE Page_Number BETWEEN 100 AND 250"
"öğrenciler tablosundaki toplam erkek öğrenci sayısı kaçtır","SELECT COUNT (*) FROM students WHERE Gender= “erkek”"
"filmler tablosundan yapım yılı 1990 ve öncesi filmler hangileri","SELECT * FROM Films WHERE FilmDate <= 1990;"
"kitaplar tablosunda yayın tarihi 2015 den önceki kitaplar nelerdir","SELECT Book_Name,DatePub FROM books WHERE DatePub<2015"
"ülkeler tablosunda baku hangi ülkenin başkentidir","SELECT Country,CapitalName FROM capitals WHERE CapitalName=“baku”"
"filmler tablosundan hangisinin imdb puani 7.5 ten daha yüksektir","SELECT * FROM Films WHERE Imdb_Score < 7.5"
"çalışanlar tablosunda satış departerkekında çalışanların maaşını 5000 olarak güncelle.","UPDATE employees SET salary = 5000 WHERE department = 'satış'"
"müşteriler tablosunda ülkesi Türkiye olan müşterilerin şehrini Ankara olarak güncelle.","UPDATE customers SET city = 'Ankara' WHERE country = 'Türkiye'"
"ürünler tablosunda id'si 1001 olan ürünün miktarını bir birim azalt","UPDATE products SET quantity = quantity - 1 WHERE id = 1001"
"envanter tablosunda son kullanma tarihi bugünden önce olan ürünlerin in_stock durumunu 0 olarak güncelle.","UPDATE inventory SET in_stock = 0 WHERE expiration_date < CURDATE();"
"siparişler tablosunda 2023-01-01 tarihinden önceki siparişlerin durumunu sevk edildi’ olarak güncelle","UPDATE orders SET status = 'sevk edildi' WHERE order_date < '2023-01-01'"
"çalışanlar tablosunda HR departerkekında çalışanların yönetici ıd'sini NULL olarak güncelle","UPDATE employees SET erkekager_id = NULL WHERE department = 'HR'"
"ürünler tablosunda kategorisi Elektronik olan ürünlerin fiyatını %10 artır","UPDATE products SET price = price * 1.1 WHERE category = 'Elektronik'"
"müşteriler tablosunda e-posta adresi belirtilmemiş olan müşterilerin e-posta adresini ""user@deneme.com"" formatında güncelle","UPDATE customers SET email = 'user@deneme.com' WHERE email IS NULL"
"siparişler tablosunda toplam tutarı belirtilmemiş olan siparişlerin toplam tutarını miktar ile fiyatın çarpımı olarak güncelle","UPDATE orders SET total_amount = quantity * price WHERE total_amount IS NULL"
"çalışanlar tablosunda satış departerkekında çalışanların departerkekını pazarlama olarak ve yönetici ıd'sini 101 olarak güncelle.","UPDATE employees SET department = 'pazarlama', erkekager_id = 101 WHERE department = 'satış'"
"arabalar tablosundaki marka ve model sütunlarını seç","SELECT marka, model FROM cars"
"arabalar tablosundan fiyatı 50000'den büyük olan arabaları seç","SELECT * FROM cars WHERE Price>50000"
"arabalar tablosundan markası Toyota olan arabaları seç","SELECT * FROM cars WHERE marka = 'Toyota'"
"arabalar tablosundaki arabaları yıla göre artan sırayla seç","SELECT * FROM cars ORDER BY yıl ASC"
"arabalar tablosundan renkleri 'Kırmızı' ve yakıt türleri 'Benzin' olan arabaları seç","SELECT * FROM cars WHERE renk = 'Kırmızı' AND yakıt = 'Benzin'"
"arabalar tablosundaki arabaların en yüksek fiyatını seç","SELECT MAX(fiyat) FROM cars"
"arabalar tablosundan 2000 ile 2020 yılları arasında üretilen arabaları seç","SELECT * FROM cars WHERE yıl BETWEEN 2000 AND 2020"
"arabalar tablosundan en fazla 8 araba seç","SELECT * FROM cars LIMIT 8"
"ürünler tablosunda 2018 de kaç tane ürün satıldı","SELECT COUNT (*) FROM products WHERE DateOfSale=2018"
"müşteriler tablosundan adresi olmayanlar kimler","SELECT * FROM customers WHERE Address IS NULL;"
"Çiçekler tablosundan karanfil i kaktüs olarak güncelle","UPDATE flowers SET Name= 'kaktus' WHERE Name= 'karanfili '"
"öğrenciler tablosuna en son eklenen 15 kişi kimdir","SELECT * FROM students ORDER BY No DESC LIMIT 15;"
"hasta kabul tablosundan son 1 saatte gelen hastalar kim","SELECT * FROM patient_admission WHERE Entry_date> DATEADD(HOUR, -1, GETDATE());"
"unvanlar tablosundan yemek personellerinin isimlerini listele","SELECT titles .TitleName,employees.Name,employees.surname FROM titles INNER JOIN employees ON titles .TitleNo=Personel.TitleNo WHERE TitleName=”Yemek Personeli"""
"kitaplar tablosundan sağlık kitaplarını idsine göre tersden listele","SELECT books.Book_Name,category.CtgName FROM books INNER JOIN category ON books.CatNo=Kategori.CatNo WHERE CtgName=""sağlık"" ORDER BY books.Id DESC"
"randevular tablosundan Mehmet Ali doktora ait hastaları listele","SELECT * FROM appointments INNER JOIN patients ON appointments.PatientId =patients.PatientId WHERE DoktorName=”mehmet ali”"
"kitaplar tablosunda bilgi yayınlarına ait kitapları idsine göre tersden diz","SELECT pubHouse.PubName,books.Books_Name,books.PubNo FROM books INNER JOIN Yayınevi ON books.PubNo=pubHouse.PubNo WHERE PubName=""bilgi yayınları"" ORDER BY books.Id DESC"
"personeller tablosundan sadece kadınların adreslerini getir","SELECT Address FROM employees WHERE Gender = ‘kadın’"
"randevular tablosundan Ali mehmet adlı doktorun hastalarını listele","SELECT * FROM appointments INNER JOIN patients ON appointments.PatientId =patients.PatientId WHERE DoktorName=”ali mehmet”"
"kitaplar tablosunda 26. rafta yer alan kitap isimleri","SELECT * FROM books WHERE Shelf = 26"
"öğrenciler tablosundaki toplam erkek öğrenci sayısı nedir","SELECT COUNT (*) FROM students WHERE Gender= ‘erkek’"
"filmler tablosundan 2019 yılına ait Türk yapımı filmleri getir","SELECT * FROM films WHERE Country= 'Turkiye' AND FilmDate=2019"
"dersler tablosunda hangi ders 3 kredilidir","SELECT * FROM lessons WHERE credit=3"
"programlar tablosunda birbirinden farklı kaç program ismi vardır","SELECT COUNT(DISTINCT Name) FROM programs"
"çalışanlar tablosundan sadece erkek çalışanlara ait e mail bilgilerini yazdır","SELECT Name,email FROM employees WHERE Gender=’erkek’"
